type,theme,title,price,sales,user_comment_date,user_buy_type,user_content,user_albums,user_reply,user_append_date,user_append,user_reply_flag,polarity
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,抽到的很喜欢，只是想摆车里不知道怎么固定轮子和娃，后边还有个小猫咪,2,回复：亲爱的，很抱歉没有让您满意，购物有任何问题可以随时联系在线客服哦，创造潮流、传递美好，泡泡一直都在哦,,,是,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,还不错啦很可爱,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,还好吧,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,买了两个都是最轻的，最踩雷的款。,0,,,,否,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,谢谢官妈，发了两个封面款，开心,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,不错喜欢,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,抽到了电视机,0,,,,否,中性
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 整盒12个,买买了3万多块钱的盲盒，体验一般。 先说快递，唯一称赞的地方。顺丰快递，就不用多说 接下来说下采购过程。由于采购量大，咨询客服有没有优惠，客服提供对接人联系方式，给这个郭生的邮箱发了几个邮件都没有人回复，也没有电话，无奈只能返回淘宝下单。 选用了购物金采购，毕竟还有50元优惠，当采购了2万多元的订单要付款的时候，发现并不能支付，客服回复是买了不能用购物金的商品，好，取消订单，单独下单，结果发现单独下单都可以下，客户又说只能下1万内的单，无语，又把近600个盲盒拆为若干个单采购。 后面两个事也很折腾 1、购物金退款，买之前客服说到时候直接推就好了，后面被【吉象】这个客服忽悠，说我要提供所有订单才能找到哪个订单没有使用完。30多个订单！！！半夜在那截订单的图，还给客户复制，结果不知道眼睛花了还是怎样，最后也没找到对应的，折腾人玩呢。白天小小泡泡客服还算靠谱，直接选2个订单给我退了，这里体验非常差。 2、开发票，主要是客服说辞都不一样的，现在都10月了，有的说已经开了哦，有的反馈我说还没有开，反正一脸懵*，看10月下旬有没有发票发出通知吧。 盲盒目前还好，大厂出品，相信不会有啥问题。,0,,,,否,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,看中了封面这个 没想到抽到就是这个 完美,2,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,外形外观：超q,2,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,整体评价：非常好，涂装平滑，色彩鲜艳，生动可爱，装扮空间小环境的佳品。 使用手感：顺滑，非常好。 做工质量：非常好，印刷清晰。 外形外观：造型生动可爱，萌嘟嘟的！,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,没有抽到喜欢的,0,,,,否,中性
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 整盒12个,送客户的福利,0,,,,否,中性
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 随机1个,感觉发了这个系列不好看中的一个 ???,1,回复：您好，盲盒随机发货，存在不确定性呦~每款娃娃都有独特的可爱之处呀~也希望您以后可以抽取到自己喜欢的款式呀~售后任何问题可以随时联系在线客服哦，~您的满意是我们永恒的追求~,,,是,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,生平第一个隐藏款，感谢官妈～,1,,28天后追评,生平第一个隐藏款，感谢官妈～,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Oct,盲盒随机发不指定 不支持无理由退货退款 整盒12个,送给喜欢的女孩的 到现在也不知道她收没收到 就这样吧,0,,,,否,中性
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,很可爱，无瑕疵,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,很精致，很可爱，虽然没有抽到心仪的，但很喜欢。,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,多次购买了，超级喜欢,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,抽重复了这几款，小伙伴们有没有想换款的，可以换遇见新朋友，保持平衡，宅家大冒险,4,,51天后追评,抽重复了这几款，小伙伴们有没有想换款的，可以换遇见新朋友，保持平衡，宅家大冒险,否,中性
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,我最爱滴Molly，好阔爱呀，送的咬线器也少女心爆棚！怎么这么阔爱呀~（大合照）,3,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 随机1个,整体评价：抽中喜欢的一款了，好开心 做工质量：无瑕疵,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,买给孩子的礼物，她非常喜欢，已经集齐很多款了，每次收到都很高兴，谢谢卖家服务,1,,54天后追评,买给孩子的礼物，她非常喜欢，已经集齐很多款了，每次收到都很高兴，谢谢卖家服务,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,外形外观：好可爱好可爱好可爱！我是Molly的**?,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,买给朋友的，还是很喜欢的！,1,,16天后追评,买给朋友的，还是很喜欢的！,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,可爱！第一次抽到电视?的，第二次抽到封面款~,3,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,说些什么呢？最喜欢的永远抽不上...,1,,,,否,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,55太喜欢啦！！！超可爱的,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Apr,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,整体评价：哦耶 幸福女神降临 使用手感：小巧精致 做工质量：还是那么细腻 外形外观：一天系列都很可爱呢,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,我只能说很好看(??ω??)??,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,送朋友的 是喜欢的,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-May,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,感觉这个系列每一个都好好看啊，抽到的这个完全符合我的状态巴适，椅背手感好好，小细节也不错，起来座上还有印记,3,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,开出隐藏了，棒棒哒！买过两次端盒，全都有隐藏哈哈?还有赠品和优惠劵，比店里买划算多了！,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,整体评价：好看 使用手感：挺好的 做工质量：很不错,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,喜欢喜欢 多点五折优惠o吧,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,小电脑 好看,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,太幸运了！抽到了最想要的封面款,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,没抽到喜欢的，这个也还不错,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,白日梦之旅，真的谢谢你可恶啊可恶??,1,,,,否,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,这个系列感觉很可爱丫,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,嘿好可爱,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-May,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,最爱行李箱,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-May,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,每只都好看,1,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,做工质量：非常的好，而且是我想要抽到的！,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Apr,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,一般，给朋友买的，不好看,0,,86天后追评,一般，给朋友买的，不好看,否,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【整盒含12个盲盒】,做工质量：很不错,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,给朋友买的她很喜欢,0,,16天后追评,给朋友买的她很喜欢,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Jan,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,做工越来越不好了,0,回复：亲爱的，很抱歉没有让您满意，购物有任何问题可以随时联系在线客服哦，创造潮流、传递美好，泡泡一直都在哦,,,是,消极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Feb,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,孩子超级喜欢,0,,,,否,积极
Molly,放空的一天,POPMART泡泡玛特 MOLLY放空的一天手办盲盒摆件创意潮流礼物玩具,69,1000,22-Mar,盲盒随机发不指定 不支持无理由退货退款 放空的一天【单个盲盒随机发 整盒请拍12个】,还不错，没什么瑕疵,0,,51天后追评,还不错，没什么瑕疵,否,积极
